epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
53,10799,,,,0.795703948,0.852897763,0.671557665
53,10799,0.854922056,0.916164696,0.761605918,,,
54,10999,,,,0.786171079,0.851919413,0.660709918
54,10999,0.855044484,0.916386425,0.762135684,,,
55,11199,,,,0.782728076,0.842358232,0.65371722
55,11199,0.854041517,0.916525364,0.760782003,,,
56,11399,,,,0.79169929,0.854268074,0.667827666
56,11399,0.855024755,0.915384233,0.761678219,,,
57,11599,,,,0.791874647,0.852132857,0.667535245
57,11599,0.857337594,0.917681158,0.764988482,,,
58,11799,,,,0.792412639,0.851531804,0.666932046
58,11799,0.85832715,0.917940795,0.766085923,,,
59,11999,,,,0.795251548,0.852013409,0.670598745
59,11999,0.860454142,0.919839025,0.769679666,,,
60,12199,,,,0.793259561,0.851820707,0.668124437
60,12199,0.861032188,0.919711947,0.770646513,,,
61,12399,,,,0.797550499,0.8511765,0.673928559
61,12399,0.860013008,0.920584142,0.769536316,,,
62,12599,,,,0.799666166,0.854204059,0.677199602
62,12599,0.859747946,0.918271184,0.768652856,,,
63,12799,,,,0.796552539,0.855345488,0.672633767
63,12799,0.860892475,0.919675112,0.770103693,,,
64,12999,,,,0.791334152,0.851443172,0.665866733
64,12999,0.863769054,0.921558142,0.774100423,,,
65,13199,,,,0.797076166,0.853466213,0.673164487
65,13199,0.863935292,0.920216143,0.774016023,,,
66,13399,,,,0.797902048,0.853061676,0.675031245
66,13399,0.862488747,0.921066165,0.772654831,,,
67,13599,,,,0.80106777,0.854087591,0.678625524
67,13599,0.866769135,0.923176289,0.778576016,,,
68,13799,,,,0.79775852,0.852396846,0.674547911
68,13799,0.86505878,0.922819495,0.776594818,,,
69,13999,,,,0.792537749,0.852322817,0.66723603
69,13999,0.867685378,0.924695313,0.780535042,,,
70,14199,,,,0.802562237,0.856202841,0.680869162
70,14199,0.867784739,0.924426019,0.780156136,,,
71,14399,,,,0.798797846,0.85431397,0.675265431
71,14399,0.868342042,0.924057007,0.780771911,,,
72,14599,,,,0.800407112,0.855635941,0.678041816
72,14599,0.868111014,0.924760282,0.780691743,,,
73,14799,,,,0.801619768,0.854012787,0.679263294
73,14799,0.869249582,0.925117493,0.782156408,,,
74,14999,,,,0.800573528,0.856226802,0.678156257
74,14999,0.870137155,0.92543906,0.783500731,,,
75,15199,,,,0.802689791,0.856543183,0.680905819
75,15199,0.870701551,0.92629993,0.784483433,,,
76,15399,,,,0.80380857,0.856690168,0.682593107
76,15399,0.871131957,0.926314175,0.784893155,,,
77,15599,,,,0.80167073,0.855211496,0.67918098
77,15599,0.869973123,0.925477982,0.783273518,,,
78,15799,,,,0.804315031,0.85778898,0.683092594
78,15799,0.872419715,0.926655889,0.786809862,,,
79,15999,,,,0.800917089,0.854818165,0.679063141
79,15999,0.874626458,0.926930964,0.789912283,,,
80,16199,,,,0.802606463,0.855804026,0.680900395
80,16199,0.872325301,0.927510679,0.786944866,,,
81,16399,,,,0.802140176,0.856773138,0.680113912
81,16399,0.872123182,0.927224636,0.786370397,,,
82,16599,,,,0.80013901,0.855218112,0.677467704
82,16599,0.873770773,0.927513123,0.788486362,,,
83,16799,,,,0.802247107,0.857129693,0.680344105
83,16799,0.874016285,0.927823842,0.789434552,,,
84,16999,,,,0.803578794,0.857143223,0.682051599
84,16999,0.873642564,0.928239644,0.788454175,,,
85,17199,,,,0.802462757,0.856827736,0.680517018
85,17199,0.874167562,0.928112626,0.788941085,,,
86,17399,,,,0.803352177,0.857425451,0.681700706
86,17399,0.874315917,0.927563608,0.78941375,,,
87,17599,,,,0.802570164,0.857105851,0.680752933
87,17599,0.876274228,0.928950191,0.792635739,,,
88,17799,,,,0.803789556,0.857697964,0.693927717
88,17799,0.87553221,0.928303301,0.791220009,,,
89,17999,,,,0.803443134,0.857369661,0.687272796
89,17999,0.876242936,0.928231239,0.791766763,,,
90,18199,,,,0.803649068,0.858550549,0.683657913
90,18199,0.876000941,0.928633094,0.791566253,,,
91,18399,,,,0.802085936,0.85808146,0.68771637
91,18399,0.874008,0.929030001,0.789587796,,,
92,18599,,,,0.802701712,0.85752517,0.68078277
92,18599,0.874678135,0.928186536,0.790058672,,,
93,18799,,,,0.80371815,0.857727051,0.694097519
