epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.477297992,0.618341088,0.259888321
0,199,0.317445844,0.536625624,0.217706144,,,
1,399,,,,0.529054224,0.6615991,0.338746428
1,399,0.459548563,0.604948819,0.283474654,,,
2,599,,,,0.573777974,0.676466167,0.367601722
2,599,0.543604851,0.657168329,0.345048428,,,
3,799,,,,0.638010323,0.727406025,0.423870713
3,799,0.589898944,0.687159419,0.381979525,,,
4,999,,,,0.669328332,0.752940118,0.452778071
4,999,0.618532538,0.710217655,0.407203078,,,
5,1199,,,,0.633826792,0.719795585,0.42291823
5,1199,0.635417163,0.718386948,0.420919687,,,
6,1399,,,,0.664012015,0.731688321,0.445664436
6,1399,0.655632913,0.734970868,0.439957291,,,
7,1599,,,,0.702557921,0.758936822,0.482715935
7,1599,0.674806178,0.746995807,0.457527131,,,
8,1799,,,,0.720989645,0.777110934,0.501983821
8,1799,0.690848053,0.76193434,0.47389558,,,
9,1999,,,,0.715907216,0.759241641,0.496767223
9,1999,0.706741929,0.772266507,0.489612222,,,
10,2199,,,,0.728826582,0.785304248,0.511261284
10,2199,0.715376675,0.781067014,0.498264015,,,
11,2399,,,,0.646186411,0.716062129,0.431524247
11,2399,0.719446719,0.782865584,0.502264559,,,
12,2599,,,,0.722601354,0.78420049,0.505787909
12,2599,0.728202879,0.791624784,0.511717081,,,
13,2799,,,,0.709423423,0.775094807,0.491342276
13,2799,0.743760049,0.80184561,0.527631819,,,
14,2999,,,,0.742527187,0.78662473,0.524132013
14,2999,0.747921228,0.805980444,0.532049239,,,
15,3199,,,,0.750021935,0.796653211,0.532926738
15,3199,0.756477594,0.813260615,0.541611016,,,
16,3399,,,,0.721903741,0.792728722,0.506927967
16,3399,0.760264695,0.81461215,0.545419872,,,
17,3599,,,,0.681039512,0.820854604,0.56392163
17,3599,0.67015034,0.819619,0.551826119,,,
18,3799,,,,0.658556581,0.809503913,0.537017167
18,3799,0.674605906,0.822304666,0.557137609,,,
19,3999,,,,0.680518985,0.80667448,0.559765935
19,3999,0.686533928,0.830512226,0.571218193,,,
20,4199,,,,0.657290995,0.799827218,0.527970433
20,4199,0.692258596,0.82995975,0.572091937,,,
21,4399,,,,0.692513466,0.786107004,0.552607
21,4399,0.714193344,0.839863837,0.592811525,,,
22,4599,,,,0.709982991,0.818464339,0.578987718
22,4599,0.727756143,0.839987516,0.604416013,,,
23,4799,,,,0.723468661,0.821459651,0.590312302
23,4799,0.71668911,0.835757375,0.590820849,,,
24,4999,,,,0.728396356,0.819888532,0.594036698
24,4999,0.735185802,0.845997393,0.611991942,,,
25,5199,,,,0.722047448,0.820794106,0.587052286
25,5199,0.740462542,0.848604977,0.616755605,,,
26,5399,,,,0.73418349,0.823647141,0.598872185
26,5399,0.749505997,0.854514062,0.627667248,,,
27,5599,,,,0.740099072,0.823894203,0.605983377
27,5599,0.752932429,0.855897248,0.630670369,,,
28,5799,,,,0.72827822,0.797637403,0.587803006
28,5799,0.755303144,0.855055571,0.632797778,,,
29,5999,,,,0.732106209,0.82297194,0.595848858
29,5999,0.761086404,0.859164476,0.639942646,,,
30,6199,,,,0.730348587,0.829330504,0.593988538
30,6199,0.759857953,0.858170271,0.637694001,,,
31,6399,,,,0.755794168,0.833231211,0.624566615
31,6399,0.768936753,0.86273247,0.64865309,,,
32,6599,,,,0.74548018,0.831400812,0.613207877
32,6599,0.770544827,0.863249779,0.650265336,,,
33,6799,,,,0.739446819,0.823050678,0.602885902
33,6799,0.777037263,0.866776943,0.659092128,,,
34,6999,,,,0.754414439,0.839145005,0.622947097
34,6999,0.776831985,0.87016505,0.659085155,,,
35,7199,,,,0.749680638,0.833722889,0.616532862
35,7199,0.78229326,0.870566428,0.665089309,,,
36,7399,,,,0.75015527,0.830730975,0.6158337
