epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,399,,,,0.584869921207428,0.6145499348640442,0.2628299593925476
0,399,0.30349087715148926,0.5127466320991516,0.20373275876045227,,,
1,799,,,,0.47160258889198303,0.6269153952598572,0.295898973941803
1,799,0.45628735423088074,0.5977904200553894,0.27935919165611267,,,
2,1199,,,,0.5224482417106628,0.6459531188011169,0.32963812351226807
2,1199,0.524394690990448,0.6400905251502991,0.3279302716255188,,,
3,1599,,,,0.609373927116394,0.7050561904907227,0.39909687638282776
3,1599,0.5687519907951355,0.6757982969284058,0.3636781871318817,,,
