val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.20883579311715383,0.47707987532844626,0.5510189356627287,0,399,,,
,,,0,399,0.16198250361370298,0.27822252396495245,0.47566138448259876
0.27317470502788543,0.44122088414836175,0.599299019354361,1,799,,,
,,,1,799,0.2186763712530935,0.3605908520688163,0.5473796415737086
0.2931095306132132,0.46393994807384364,0.6279222753312853,2,1199,,,
,,,2,1199,0.2834131281367305,0.46542341888381306,0.5917535367871759
0.3118348626569337,0.4859354412988693,0.6478956399140534,3,1599,,,
,,,3,1599,0.29780174199281606,0.48170975950176836,0.6093672941824906
0.3507493517781255,0.5505398126622918,0.6560962677001954,4,1999,,,
,,,4,1999,0.322820376034062,0.5167940532248947,0.6295756961520688
0.40043167617892905,0.615107544187446,0.6921796092280635,5,2399,,,
,,,5,2399,0.3460113428522799,0.5488399939821639,0.6457629317954481
0.3636500683181839,0.5704962792879223,0.6818503379821778,6,2799,,,
,,,6,2799,0.36709680695813607,0.5744330784988818,0.6670207265978193
