val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.23493615827828665,0.39161909485042656,0.5542275075559263,0,399,,,
,,,0,399,0.1969849588642515,0.29399170899242677,0.5097786182054375
0.29156499120259194,0.47771005423644464,0.6173899632913095,1,799,,,
,,,1,799,0.261577658454817,0.43537979711470937,0.5742042590003555
0.29589626858984475,0.4780566279016238,0.615119218826294,2,1199,,,
,,,2,1199,0.28581235984444586,0.47093644190701084,0.5943639646439856
0.248299750888415,0.40743706476685354,0.5771053384851527,3,1599,,,
,,,3,1599,0.2835295636866648,0.467520620453694,0.5943344340333734
0.2967755518874493,0.48630746340723935,0.6116040477046261,4,1999,,,
,,,4,1999,0.317699346464298,0.5131946498073511,0.6240814003216212
0.20628299926195814,0.35642780308705174,0.53449253682737,5,2399,,,
,,,5,2399,0.2657298617709897,0.44524877713764827,0.5674271732862513
0.30493156080340167,0.49150154009481967,0.6331411238069887,6,2799,,,
,,,6,2799,0.2631807164012123,0.4395953222328009,0.5722316069254739
0.3615024563678918,0.5693331196893345,0.6693078129379838,7,3199,,,
,,,7,3199,0.31459798476299805,0.5106680910469756,0.6202271972780375
0.3674833997807312,0.5689253734963596,0.6826875545360424,8,3599,,,
,,,8,3599,0.34167224763216947,0.5440488980257222,0.6468974708337627
0.38093663983496473,0.5951428177799883,0.6570140167518899,9,3999,,,
,,,9,3999,0.35453700263237786,0.5597570933788211,0.661769273254611
0.4018744424007947,0.6151354465433015,0.6986360549926758,10,4399,,,
,,,10,4399,0.37655567075150553,0.5122716158206214,0.6791671804433723
0.3958982016118215,0.6050483322351484,0.7105998215851961,11,4799,,,
,,,11,4799,0.38409880853815964,0.5206084285618773,0.6857576691534139
0.43233842923562904,0.5685826475884583,0.7236335648430718,12,5199,,,
,,,12,5199,0.3954094434287703,0.5318448038675508,0.6953495431377348
0.4186817202323229,0.5527392767639008,0.7264244008947301,13,5599,,,
,,,13,5599,0.40629202865494374,0.5429446079651021,0.7062493990162241
0.4138733751370102,0.5519978326476,0.7137468585261593,14,5999,,,
,,,14,5999,0.4169933167285874,0.558319333271736,0.7098089268505919
0.43913290694962664,0.5813956039493458,0.7282500478956434,15,6399,,,
,,,15,6399,0.4320880833858979,0.5752123750953992,0.720722394883531
0.48210545991249476,0.6285931080371285,0.7395054269720007,16,6799,,,
,,,16,6799,0.4358660808406162,0.5801457624006567,0.7224556347762121
0.46223536793680464,0.6043504382711391,0.734542558811329,17,7199,,,
,,,17,7199,0.45022965575521484,0.5953024508277951,0.7301852504780832
0.5035779693194391,0.6497507663364264,0.7629260398723461,18,7599,,,
,,,18,7599,0.4543689092839376,0.5998853244910513,0.7345237938075421
0.4766296734427382,0.6284002652522036,0.7129750128145571,19,7999,,,
,,,19,7999,0.4626813788444314,0.6085350667357905,0.7392849941725057
0.4939707624097246,0.6442066908602191,0.738113945501822,20,8399,,,
,,,20,8399,0.4732032251574725,0.6189342078419667,0.7462442811071425
0.5062485511033281,0.6548872021401719,0.7556851987485532,21,8799,,,
,,,21,8799,0.47990789178607673,0.6265940968945296,0.7488644977075045
0.523522558810212,0.6706971895767146,0.7638202596593786,22,9199,,,
,,,22,9199,0.48872660353391006,0.635308865440473,0.7554438179453334
0.4823698999311424,0.6299659285050471,0.7446955769150345,23,9599,,,
,,,23,9599,0.4856485778440017,0.6321591415423513,0.7549669263107336
0.5201555368953119,0.6677989331427606,0.7619612411216453,24,9999,,,
,,,24,9999,0.4972750148827847,0.6440870709592781,0.7591747964239721
0.5187313094316579,0.665594365712092,0.7739806475462737,25,10399,,,
,,,25,10399,0.5044553386078399,0.6512337831010572,0.765135344513548
0.5421614023784083,0.6891106827185877,0.7741891136875859,26,10799,,,
,,,26,10799,0.5057616688286177,0.6516746518182213,0.7692859613061936
0.5411757677604219,0.6875437375406813,0.7739817531020553,27,11199,,,
,,,27,11199,0.5184258001787523,0.6642134939648864,0.7732449615800265
0.5431978501531031,0.6909062439219147,0.7716192545714202,28,11599,,,
,,,28,11599,0.520140123928077,0.665387209424686,0.7757931090484251
0.5462649846785199,0.693221247859566,0.77203161628158,29,11999,,,
,,,29,11999,0.5288982573533348,0.6741751859709857,0.7792111195107965
0.5627788451780542,0.7060470109967687,0.7956441526059751,30,12399,,,
