epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.5452855825424194,0.5938803553581238,0.23986724019050598
0,199,0.30663755536079407,0.5278942584991455,0.20823362469673157,,,
1,399,,,,0.5266666412353516,0.6256221532821655,0.28899848461151123
1,399,0.4563201665878296,0.616630494594574,0.2846873700618744,,,
2,599,,,,0.4985676407814026,0.6463760137557983,0.3165603578090668
2,599,0.5129943490028381,0.6507287621498108,0.32517942786216736,,,
3,799,,,,0.6229899525642395,0.7128110527992249,0.4101041555404663
3,799,0.5708661079406738,0.6797072291374207,0.3667711615562439,,,
4,999,,,,0.6522461175918579,0.7215310335159302,0.4348412752151489
4,999,0.6020765900611877,0.6972576975822449,0.3922102153301239,,,
5,1199,,,,0.6827240586280823,0.7623382806777954,0.4661448001861572
5,1199,0.6352304220199585,0.7239675521850586,0.42134979367256165,,,
6,1399,,,,0.6892732381820679,0.7503854632377625,0.47206100821495056
6,1399,0.6598643660545349,0.741794764995575,0.4438285827636719,,,
7,1599,,,,0.7274409532546997,0.7806904315948486,0.5083537697792053
7,1599,0.6723447442054749,0.7474258542060852,0.45566174387931824,,,
8,1799,,,,0.7019429802894592,0.7685596942901611,0.48411840200424194
8,1799,0.6982295513153076,0.7675191760063171,0.48043549060821533,,,
9,1999,,,,0.7291133999824524,0.7784940600395203,0.5097281336784363
9,1999,0.7126872539520264,0.7781686186790466,0.49503758549690247,,,
10,2199,,,,0.7421784996986389,0.788598895072937,0.52252596616745
10,2199,0.713953971862793,0.7837949395179749,0.4974636435508728,,,
11,2399,,,,0.7343255877494812,0.7910725474357605,0.5172487497329712
11,2399,0.731133222579956,0.7964702248573303,0.5153082609176636,,,
12,2599,,,,0.7259601354598999,0.7920560836791992,0.509134829044342
12,2599,0.7405567765235901,0.8017906546592712,0.524713397026062,,,
13,2799,,,,0.7417842745780945,0.7938424348831177,0.524013340473175
13,2799,0.7441251873970032,0.8052500486373901,0.5283154249191284,,,
14,2999,,,,0.7152225971221924,0.759844183921814,0.49529141187667847
14,2999,0.7620681524276733,0.8140326142311096,0.547052264213562,,,
15,3199,,,,0.7720405459403992,0.8140262961387634,0.5563516020774841
15,3199,0.7624071836471558,0.8179061412811279,0.5479117631912231,,,
16,3399,,,,0.7698162794113159,0.815484881401062,0.5548064708709717
16,3399,0.7700270414352417,0.8235332369804382,0.5561133027076721,,,
17,3599,,,,0.6788530945777893,0.8200574517250061,0.560774028301239
17,3599,0.6800127625465393,0.8288995623588562,0.5640625953674316,,,
18,3799,,,,0.6935438513755798,0.8255464434623718,0.5751758813858032
18,3799,0.686430037021637,0.8345673084259033,0.5719782114028931,,,
19,3999,,,,0.6964545845985413,0.8137553334236145,0.5635232925415039
19,3999,0.7053439617156982,0.8363875150680542,0.5855773091316223,,,
20,4199,,,,0.6970367431640625,0.8007944226264954,0.5577453970909119
20,4199,0.7184640169143677,0.8399807214736938,0.594954788684845,,,
21,4399,,,,0.7246406674385071,0.8244544267654419,0.590825617313385
21,4399,0.7243031859397888,0.8427535891532898,0.6000736355781555,,,
22,4599,,,,0.7376633286476135,0.8258001804351807,0.6051381230354309
22,4599,0.7379145622253418,0.8512052297592163,0.6160070300102234,,,
23,4799,,,,0.726649820804596,0.8247984051704407,0.5937116742134094
23,4799,0.7439990639686584,0.852485179901123,0.6220506429672241,,,
24,4999,,,,0.7467412948608398,0.8350555896759033,0.6146725416183472
24,4999,0.744753360748291,0.8498809337615967,0.6210237145423889,,,
25,5199,,,,0.7428615093231201,0.8317716717720032,0.6091790795326233
25,5199,0.7543563842773438,0.8577708005905151,0.6334328055381775,,,
26,5399,,,,0.7509035468101501,0.830208420753479,0.6178931593894958
26,5399,0.7577981352806091,0.8586430549621582,0.6369826793670654,,,
27,5599,,,,0.7447867393493652,0.8213422894477844,0.6100497245788574
27,5599,0.765707790851593,0.8643243312835693,0.6468587517738342,,,
28,5799,,,,0.7177327871322632,0.8006284832954407,0.577144980430603
28,5799,0.7691314816474915,0.8647250533103943,0.650066077709198,,,
29,5999,,,,0.7476097941398621,0.828680157661438,0.6125133633613586
29,5999,0.7700728178024292,0.8677858114242554,0.65125572681427,,,
30,6199,,,,0.7529394030570984,0.8364650011062622,0.6194692254066467
30,6199,0.7727629542350769,0.8675596117973328,0.6544732451438904,,,
31,6399,,,,0.7578161954879761,0.8357722759246826,0.6247256398200989
31,6399,0.7766479253768921,0.8690578937530518,0.6592690944671631,,,
32,6599,,,,0.7525092363357544,0.8391602039337158,0.61957186460495
