val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.20358003118629064,0.3535389186571803,0.486047327959979,0,399,,,
,,,0,399,0.20283307603589734,0.3035423617177179,0.5125995833984688
0.2412384796691526,0.4089130589344681,0.5644934972127279,1,799,,,
,,,1,799,0.24596786514813523,0.41557918147326794,0.5519178385736199
0.3011283075247572,0.4925621520929712,0.6150056450455277,2,1199,,,
,,,2,1199,0.27724686241357555,0.46089300534377603,0.5831715217935215
0.2851302321231402,0.4582746574518336,0.6151678579824942,3,1599,,,
,,,3,1599,0.29094605017973957,0.4801427031938159,0.5962074159733702
0.34439676201562985,0.5468695965788825,0.6464545055671974,4,1999,,,
,,,4,1999,0.3093859305259564,0.5046482479460156,0.6111824616359401
0.3576143463945355,0.5592010055919329,0.6758391839486582,5,2399,,,
,,,5,2399,0.3221832643929211,0.5210854514717558,0.6249695676831893
0.35764173152150236,0.5650740427112694,0.6719297108826814,6,2799,,,
,,,6,2799,0.3368188430743121,0.5403127376225012,0.6376609128595794
0.37888002184311687,0.5917051760445767,0.6704106666423656,7,3199,,,
,,,7,3199,0.34573397181683957,0.5511106498970019,0.6460206689825673
0.3879274263648261,0.5956082309907016,0.6964609799561677,8,3599,,,
,,,8,3599,0.3606231259115025,0.5692737236136961,0.6590261417501816
0.3965371742656878,0.6079114996524844,0.6944972426803023,9,3999,,,
,,,9,3999,0.36679695060755435,0.5770059246006316,0.666197957940257
0.4077274813131231,0.6230969966444394,0.7068069599292897,10,4399,,,
,,,10,4399,0.3766176572719382,0.5878242202108581,0.6736433330573669
0.4155303118142467,0.6311115336130736,0.7155726803673639,11,4799,,,
,,,11,4799,0.3839340029112007,0.5960595032642316,0.6814479204837777
0.4044272909324301,0.6166947346985161,0.702738509354768,12,5199,,,
,,,12,5199,0.39278857891111885,0.6065208493910097,0.6885612093186668
0.406212138064249,0.6181730225020365,0.7082232316335042,13,5599,,,
,,,13,5599,0.39708838280753006,0.6108439627787161,0.6947923801351046
0.4306103663862334,0.6483901112846651,0.7248526431896068,14,5999,,,
,,,14,5999,0.4042667108037412,0.6191794293736723,0.7005462961323486
0.4410345876743167,0.6570176705369616,0.7346540044855189,15,6399,,,
,,,15,6399,0.41100214908971683,0.6258657825883566,0.7074896571683535
0.4374964527217777,0.6545030069444256,0.729618446915238,16,6799,,,
,,,16,6799,0.4145930194473926,0.6303503709065608,0.7108193417670268
0.4434745843556991,0.6610986024026259,0.7406953387790256,17,7199,,,
,,,17,7199,0.4200105416327898,0.6364224382873745,0.7131143108176108
0.4355461151258667,0.652881012930164,0.7367577446831597,18,7599,,,
,,,18,7599,0.42467863792518923,0.6410817402542713,0.7184776911480738
0.42700051346826484,0.6460455808553563,0.7109823067982991,19,7999,,,
,,,19,7999,0.42635590293252035,0.6433765330566332,0.7184301161370932
0.4202718913906994,0.6357177134089547,0.7216860329663312,20,8399,,,
,,,20,8399,0.4298837011122453,0.6467042361827335,0.7221379246923243
0.4587815232329615,0.6784467424174785,0.7400949354524966,21,8799,,,
,,,21,8799,0.4330783714305715,0.6501787473379225,0.7258311302601465
0.4399634074230571,0.6569649448526453,0.7311706207416676,22,9199,,,
,,,22,9199,0.4425438738049013,0.6606609064834021,0.7331493368374792
0.43648132257786826,0.652760739306226,0.7357903339244701,23,9599,,,
,,,23,9599,0.43316646644635837,0.6500004453312849,0.7267842550350676
0.4611891451277785,0.6804056300961514,0.7464052023711027,24,9999,,,
,,,24,9999,0.44301677761806946,0.6610521870329692,0.7319170331919977
0.4489614630937743,0.6667638887360035,0.738276536376388,25,10399,,,
,,,25,10399,0.4421236185452715,0.6602504779906919,0.7332621037218714
0.46695530533538354,0.686642624748974,0.751569903338397,26,10799,,,
,,,26,10799,0.4464178666484985,0.5811774853184469,0.7393548902254439
0.47246250905746634,0.6057549411805108,0.749355701163963,27,11199,,,
,,,27,11199,0.4593193913249902,0.5929482007801049,0.7483957548613733
0.48173728395079024,0.7012735602771406,0.7615120163670293,28,11599,,,
,,,28,11599,0.4600024493494693,0.5937030293126289,0.7479565467690268
0.4597565909912887,0.6787518234042392,0.7439565534944887,29,11999,,,
,,,29,11999,0.4645545348694625,0.5980187260427957,0.7515414276019182
0.4700115629541952,0.6029697291743312,0.7592336513378002,30,12399,,,
,,,30,12399,0.4654473663380282,0.5984090714822723,0.7520635349087897
0.4793158045722332,0.6111223802800673,0.7629775100284153,31,12799,,,
,,,31,12799,0.46595886979481815,0.598950432103653,0.7546397301250637
0.47599751399314155,0.6084095307360258,0.763543176651001,32,13199,,,
,,,32,13199,0.471444305178375,0.6044131217654278,0.7569561022203526
0.48497311305896507,0.6157949146555934,0.7650902324252659,33,13599,,,
,,,33,13599,0.46786739176049447,0.6015000235172747,0.7532208546713555
0.46880799974221404,0.6022432930956233,0.7551713131092213,34,13999,,,
,,,34,13999,0.4755538730082302,0.6086587369742289,0.7603319828462018
0.48462186527751705,0.6173674214103949,0.7645587373662878,35,14399,,,
,,,35,14399,0.4806337590396609,0.6142696258237474,0.760030832904272
0.4870788519255629,0.6192939406856417,0.764368866108082,36,14799,,,
,,,36,14799,0.4835871372864641,0.6177060417145972,0.7644706651514979
0.4982253230616243,0.6352063592679608,0.7640929416373924,37,15199,,,
,,,37,15199,0.48280031811471047,0.6184538774810285,0.763702063495177
0.49380597627430695,0.6319940795061085,0.7645680657139531,38,15599,,,
,,,38,15599,0.49229229709645483,0.6280009973442167,0.7695419590057169
0.48464670558888046,0.6260275286359206,0.7562964598337809,39,15999,,,
,,,39,15999,0.4933174100665668,0.6315602434774354,0.7679324431895954
0.5011992442962857,0.6436465928206325,0.7673000406335901,40,16399,,,
,,,40,16399,0.49675184607118616,0.6345976766002767,0.7700116385070864
0.5213186192986379,0.6635925477706393,0.7780586507585313,41,16799,,,
,,,41,16799,0.5029712672777332,0.6423887449817341,0.7725908685103124
0.5111064710600872,0.6550876956280101,0.7709799996128789,42,17199,,,
,,,42,17199,0.506517828903753,0.6459234139077425,0.7765109175465649
0.526465001571067,0.6698291829104954,0.7808296433201543,43,17599,,,
,,,43,17599,0.5068199959111148,0.6468126455625305,0.7767300451290073
0.5237370793300336,0.6661646182192489,0.783946939750954,44,17999,,,
,,,44,17999,0.5147462937351199,0.6542202215626569,0.7795760065364689
0.5309145989682381,0.674902922858172,0.7831176581206145,45,18399,,,
,,,45,18399,0.5147558361572648,0.6544977935666346,0.7800779564179994
0.5322466603520637,0.6773046942969936,0.7774994867819327,46,18799,,,
,,,46,18799,0.5182804484852097,0.6582854972019373,0.7812731444652692
0.5218440052110596,0.6685208443656514,0.7705695858708135,47,19199,,,
,,,47,19199,0.5220416879606866,0.6629027361510593,0.7826200146181511
0.5299265725032635,0.6743265164872858,0.7824232966811568,48,19599,,,
,,,48,19599,0.5270069660656539,0.6675360334229843,0.7863094619136194
0.5438368354120926,0.6872456998866395,0.786293132216842,49,19999,,,
,,,49,19999,0.5267009216269797,0.6667031034727222,0.7860111435995529
0.5239781764650995,0.6699967538843916,0.7724674772333215,50,20399,,,
,,,50,20399,0.5273832779017325,0.6679096613394617,0.7884591347439852
0.534606626050964,0.6798344048897016,0.7833616839514839,51,20799,,,
,,,51,20799,0.5310094189310315,0.6717161550231252,0.7881334044915433
0.5401473168986446,0.6851683963351618,0.7843768473024721,52,21199,,,
,,,52,21199,0.5327298002445875,0.6730969184599258,0.7917866741565698
0.5301472106816171,0.6760675579217452,0.7780629069716842,53,21599,,,
,,,53,21599,0.537559878043263,0.677770102707151,0.7923699806600281
0.5397923251761068,0.6848020656123115,0.7818518815217195,54,21999,,,
,,,54,21999,0.5406610881539552,0.6805723976183424,0.7941166347304658
0.5364634578565333,0.6813958394929183,0.7868076677675601,55,22399,,,
,,,55,22399,0.5416911034299932,0.6817432394778857,0.7937593478738098
0.5559048331993994,0.6986002095863072,0.7969751781887479,56,22799,,,
,,,56,22799,0.5436733143503958,0.682677351372024,0.7967636331782265
0.5512051932875763,0.6949053486947295,0.7934734785998309,57,23199,,,
,,,57,23199,0.54525897217581,0.6847800445186253,0.7966619913565006
0.5563694729430347,0.6996151636842266,0.7941429791627107,58,23599,,,
,,,58,23599,0.5473346790310452,0.6864862168503294,0.7987524322317268
0.5592570740720308,0.7021291130631165,0.796868462032742,59,23999,,,
,,,59,23999,0.5480169607517751,0.6877411904269686,0.7967297392230583
0.5485606195689827,0.6930508673666024,0.7894927166126392,60,24399,,,
,,,60,24399,0.552438971788574,0.691086275165445,0.8029250434217375
0.5534703579190134,0.697135060544178,0.7918829458731192,61,24799,,,
,,,61,24799,0.5504583684673543,0.6893231118604208,0.800728258462862
0.5551237139307208,0.6992449286099716,0.7910807503594293,62,25199,,,
,,,62,25199,0.5551062707330192,0.6938127207290832,0.8030329129542961
0.5452187435771447,0.6908753356639497,0.7875606483883328,63,25599,,,
,,,63,25599,0.5584470274224395,0.696980146943304,0.8059036046216074
0.5618674756573274,0.7046467586193055,0.7990034668533891,64,25999,,,
,,,64,25999,0.558333486641887,0.6968541871297216,0.8054708152785003
0.5552946894705048,0.6992497481957378,0.7923072885583948,65,26399,,,
,,,65,26399,0.5613893062127486,0.6991909777362431,0.8081810872476576
0.5577000710078285,0.7017850859344443,0.7933853025789614,66,26799,,,
,,,66,26799,0.5570430328322571,0.6949984598126391,0.8055822537963574
0.559761629969473,0.7030476382735064,0.796482480013812,67,27199,,,
,,,67,27199,0.5648912698655754,0.7025783678237265,0.8096492581211768
0.5697671213518456,0.7116642719315527,0.801773092481825,68,27599,,,
,,,68,27599,0.5651850768417002,0.7022090709721585,0.8100227427685573
0.5594963620117518,0.7031805431095959,0.7942805113615813,69,27999,,,
,,,69,27999,0.566706551663315,0.7042112673763798,0.8106139382493015
0.5670257260663825,0.709559449513307,0.799512063132392,70,28399,,,
,,,70,28399,0.5660126224667082,0.7035195372033611,0.8109146360760929
0.562664240555807,0.7055399144495333,0.7977750672234429,71,28799,,,
,,,71,28799,0.5721620037134787,0.7086016877867907,0.8140372464912315
0.5653001742841396,0.7081752761620868,0.7993124961853028,72,29199,,,
,,,72,29199,0.5684604033486105,0.7056619393531399,0.8130220503724056
0.5621693742444995,0.7054809994559448,0.797704357571072,73,29599,,,
,,,73,29599,0.5721801333203579,0.7090958968248637,0.8129939134663818
0.5682344115996365,0.7105073390187754,0.8001376628875733,74,29999,,,
,,,74,29999,0.57778877594966,0.7136182694386837,0.8167165499512455
0.572185508348164,0.7136025032951037,0.8058347225189209,75,30399,,,
,,,75,30399,0.5721819898268746,0.7088283068644633,0.8165839530110167
0.5711364815992659,0.7130709264603767,0.8051359035350658,76,30799,,,
,,,76,30799,0.5728478162739136,0.7091091659597788,0.8152777035205535
0.5673809696571845,0.70995654214087,0.8021327583878128,77,31199,,,
,,,77,31199,0.5785708653984362,0.7145608156703256,0.8169113657979538
0.5662313395313179,0.7087912208120706,0.8010698177196361,78,31599,,,
,,,78,31599,0.5786198778067024,0.7142087668837841,0.8184677870830364
0.5659230226047912,0.7087847070358015,0.8018757502237955,79,31999,,,
,,,79,31999,0.5814700018129526,0.7167363771211931,0.8206227958822319
0.5720360560914688,0.7136849097105952,0.8042221917046442,80,32399,,,
,,,80,32399,0.5779830974325463,0.7134125139163945,0.8191128178925816
0.572525849998645,0.7140539400641708,0.805479242183544,81,32799,,,
,,,81,32799,0.5801761500082027,0.7154695073237618,0.8202596119552695
0.571510260557092,0.7132102612728972,0.8048309273189969,82,33199,,,
,,,82,33199,0.5792490185793743,0.7147295304056944,0.8186518458802597
0.5679767309135964,0.710465433565825,0.800890737109714,83,33599,,,
,,,83,33599,0.5828120892064919,0.7180234910461472,0.8208874625041825
0.5737052504939896,0.7152614766306749,0.8041219693643076,84,33999,,,
,,,84,33999,0.5798696209042448,0.7154934978538781,0.819761031297221
0.5678867442750279,0.710297961857943,0.8017765062826651,85,34399,,,
