epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.422382563,0.565345407,0.218885541
0,199,0.314299136,0.538734317,0.2156692,,,
1,399,,,,0.483430415,0.627092421,0.302439362
1,399,0.456221312,0.604218721,0.281399637,,,
2,599,,,,0.574388564,0.688829362,0.369424194
2,599,0.534845769,0.650504887,0.33762005,,,
3,799,,,,0.637726426,0.723604977,0.421976864
3,799,0.584912181,0.685093582,0.37782979,,,
4,999,,,,0.657990694,0.729003787,0.442136288
4,999,0.611015141,0.701122403,0.399365067,,,
5,1199,,,,0.651134491,0.729541719,0.437072664
5,1199,0.623808265,0.710584223,0.410656333,,,
6,1399,,,,0.683309853,0.753763556,0.466033399
6,1399,0.651696026,0.731697798,0.436177433,,,
7,1599,,,,0.678251147,0.743132532,0.460637867
7,1599,0.666451752,0.740739822,0.449460059,,,
8,1799,,,,0.640739918,0.704338729,0.419767469
8,1799,0.684290648,0.757271051,0.467570662,,,
9,1999,,,,0.698252976,0.755991578,0.481489807
9,1999,0.70095855,0.768468201,0.484044701,,,
10,2199,,,,0.725103021,0.778901577,0.506858587
10,2199,0.706161201,0.773694873,0.488906056,,,
11,2399,,,,0.637450278,0.736195862,0.430816829
11,2399,0.711000085,0.779596925,0.494311988,,,
12,2599,,,,0.733517885,0.792950213,0.516860545
12,2599,0.726985693,0.789912522,0.510325789,,,
13,2799,,,,0.716675341,0.785693288,0.50027144
13,2799,0.737905741,0.798051,0.521676183,,,
14,2999,,,,0.741633296,0.798731089,0.52425611
14,2999,0.742240608,0.800833166,0.525891662,,,
15,3199,,,,0.746006131,0.797212839,0.529598176
15,3199,0.752762616,0.810133815,0.53745985,,,
16,3399,,,,0.73058635,0.80787313,0.517785132
16,3399,0.755459368,0.812496245,0.54063803,,,
17,3599,,,,0.664408803,0.808396161,0.543322027
17,3599,0.76327461,0.81724751,0.548752367,,,
18,3799,,,,0.651358783,0.787730396,0.526125669
18,3799,0.669403255,0.816557169,0.550180554,,,
19,3999,,,,0.694074571,0.817024171,0.568827927
19,3999,0.681524277,0.825860143,0.563093007,,,
20,4199,,,,0.663852036,0.797461927,0.528563619
20,4199,0.703039527,0.829681575,0.577846944,,,
21,4399,,,,0.706844747,0.803782225,0.569827855
21,4399,0.718553364,0.838896036,0.59365195,,,
22,4599,,,,0.707479239,0.808831394,0.572276056
22,4599,0.726656675,0.836483538,0.600677609,,,
23,4799,,,,0.732998371,0.824139595,0.599743307
23,4799,0.720983386,0.835553586,0.593357086,,,
24,4999,,,,0.728807926,0.823939085,0.594012439
24,4999,0.737689555,0.843827426,0.612454414,,,
25,5199,,,,0.717285752,0.819186985,0.581035733
25,5199,0.74232018,0.847037017,0.616488695,,,
26,5399,,,,0.729134798,0.818495035,0.592037857
26,5399,0.751960576,0.853265762,0.628138423,,,
27,5599,,,,0.730465233,0.824028611,0.594632924
27,5599,0.753230512,0.852385342,0.628831923,,,
28,5799,,,,0.727394402,0.803098917,0.586903811
28,5799,0.756142378,0.85452342,0.632512689,,,
29,5999,,,,0.742573619,0.831118703,0.609922409
29,5999,0.758958995,0.855595648,0.635964155,,,
30,6199,,,,0.728678524,0.820929587,0.591914594
30,6199,0.761182249,0.855869472,0.638175368,,,
