epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.48047104477882385,0.5379888415336609,0.20794618129730225
0,199,0.3095267117023468,0.524863600730896,0.20909255743026733,,,
1,399,,,,0.47823619842529297,0.6467661261558533,0.30644312500953674
1,399,0.45686811208724976,0.6149758696556091,0.2844032645225525,,,
2,599,,,,0.5172677636146545,0.6503689289093018,0.33030059933662415
2,599,0.5239188075065613,0.653502345085144,0.3319427967071533,,,
3,799,,,,0.6097113490104675,0.7088475823402405,0.40030637383461
3,799,0.5827891230583191,0.6868909597396851,0.37648236751556396,,,
4,999,,,,0.6775815486907959,0.754886269569397,0.46201199293136597
4,999,0.6079534888267517,0.7000242471694946,0.3968118727207184,,,
5,1199,,,,0.6710375547409058,0.7461023926734924,0.4536941349506378
5,1199,0.6405870914459229,0.7270346283912659,0.42632272839546204,,,
6,1399,,,,0.7005618214607239,0.7488266825675964,0.4799872934818268
6,1399,0.6619866490364075,0.7432191371917725,0.4459426999092102,,,
7,1599,,,,0.6988000869750977,0.770422637462616,0.48251527547836304
7,1599,0.6777819991111755,0.7516167163848877,0.46068236231803894,,,
8,1799,,,,0.6985175609588623,0.7692380547523499,0.48118624091148376
8,1799,0.6958670616149902,0.7666098475456238,0.47855231165885925,,,
9,1999,,,,0.7127641439437866,0.7670011520385742,0.49199625849723816
9,1999,0.7110580801963806,0.77835613489151,0.4941041171550751,,,
10,2199,,,,0.7295475006103516,0.7879425287246704,0.5126336216926575
10,2199,0.7130929827690125,0.7810831069946289,0.4961839020252228,,,
11,2399,,,,0.7267914414405823,0.7856950163841248,0.5091688632965088
11,2399,0.7280396819114685,0.7912546396255493,0.5110886693000793,,,
12,2599,,,,0.7324095964431763,0.7931122779846191,0.5155952572822571
12,2599,0.7391680479049683,0.7961649894714355,0.521914541721344,,,
13,2799,,,,0.7507876753807068,0.8078075051307678,0.5341771245002747
13,2799,0.7376063466072083,0.797297477722168,0.5204654335975647,,,
14,2999,,,,0.7429028153419495,0.7843860387802124,0.5241125822067261
14,2999,0.7619002461433411,0.8122788071632385,0.5466359257698059,,,
15,3199,,,,0.7734593749046326,0.8152749538421631,0.5578758120536804
15,3199,0.7603700757026672,0.8141408562660217,0.5451209545135498,,,
16,3399,,,,0.7675243616104126,0.8071247935295105,0.5512142181396484
16,3399,0.7715153098106384,0.82331782579422,0.5572817325592041,,,
17,3599,,,,0.6250075697898865,0.7975842356681824,0.4985164999961853
17,3599,0.6785947680473328,0.8281339406967163,0.5622045397758484,,,
18,3799,,,,0.6785815358161926,0.8200392127037048,0.5607350468635559
18,3799,0.6836544871330261,0.8304893970489502,0.5686222314834595,,,
19,3999,,,,0.6576359868049622,0.8026424050331116,0.5344983339309692
19,3999,0.687176525592804,0.8329439163208008,0.5729120373725891,,,
20,4199,,,,0.593147873878479,0.7459189891815186,0.45696601271629333
20,4199,0.695774495601654,0.8374852538108826,0.5808833241462708,,,
21,4399,,,,0.7174248695373535,0.8256946802139282,0.5893521308898926
21,4399,0.71011883020401,0.8384086489677429,0.5894436240196228,,,
22,4599,,,,0.7215442657470703,0.8173709511756897,0.5875633955001831
22,4599,0.7284267544746399,0.8480582237243652,0.6078001856803894,,,
23,4799,,,,0.7342615723609924,0.8248856067657471,0.6022459268569946
23,4799,0.7316917181015015,0.8460683226585388,0.6100185513496399,,,
24,4999,,,,0.739945650100708,0.831303060054779,0.6085109114646912
24,4999,0.7380639314651489,0.8492639660835266,0.6157377362251282,,,
25,5199,,,,0.7259526252746582,0.8296630382537842,0.5918925404548645
25,5199,0.75020831823349,0.8560943603515625,0.6305528283119202,,,
26,5399,,,,0.7386314868927002,0.8347473740577698,0.6055485010147095
26,5399,0.7453157305717468,0.8515374064445496,0.6225178837776184,,,
27,5599,,,,0.7342265844345093,0.8091773986816406,0.5972495675086975
27,5599,0.7602606415748596,0.8623511791229248,0.6413407921791077,,,
28,5799,,,,0.7083873152732849,0.8074220418930054,0.5672479271888733
28,5799,0.7587489485740662,0.8557026982307434,0.6368095874786377,,,
29,5999,,,,0.7515273094177246,0.8317654132843018,0.6182499527931213
29,5999,0.7668740749359131,0.8649535775184631,0.6476806998252869,,,
30,6199,,,,0.7510034441947937,0.8279489874839783,0.6168872117996216
30,6199,0.7714990973472595,0.8665602207183838,0.6537054181098938,,,
31,6399,,,,0.7351422905921936,0.816388726234436,0.5980017185211182
31,6399,0.7719662189483643,0.8648325204849243,0.6531231999397278,,,
32,6599,,,,0.7487574815750122,0.8344331383705139,0.6151313185691833
32,6599,0.7743139266967773,0.8664829134941101,0.6559675931930542,,,
33,6799,,,,0.7483251094818115,0.8273829221725464,0.6144444346427917
33,6799,0.7808218002319336,0.8715195655822754,0.663952112197876,,,
34,6999,,,,0.7540825009346008,0.8267229795455933,0.6204932332038879
34,6999,0.7868562340736389,0.8746605515480042,0.6715083122253418,,,
35,7199,,,,0.7444292902946472,0.8312283158302307,0.610015869140625
35,7199,0.7805174589157104,0.8702086806297302,0.6622214317321777,,,
36,7399,,,,0.7632423043251038,0.8379431962966919,0.631845235824585
36,7399,0.7909237146377563,0.8751870393753052,0.6758813858032227,,,
37,7599,,,,0.7627159953117371,0.8399319648742676,0.6306784749031067
37,7599,0.7960987687110901,0.8813994526863098,0.6835001111030579,,,
38,7799,,,,0.7696456909179688,0.8455262780189514,0.6400957107543945
38,7799,0.797935426235199,0.8804265260696411,0.6850727796554565,,,
39,7999,,,,0.7623624205589294,0.8412569165229797,0.6321066617965698
39,7999,0.7962889075279236,0.8791033625602722,0.6819821000099182,,,
40,8199,,,,0.7684766054153442,0.8384077548980713,0.6374329924583435
40,8199,0.7999405860900879,0.880929708480835,0.6868755221366882,,,
41,8399,,,,0.7728124260902405,0.8454772233963013,0.6446509957313538
41,8399,0.8021628856658936,0.8841611742973328,0.690703809261322,,,
42,8599,,,,0.775420069694519,0.8426927328109741,0.6461306810379028
42,8599,0.8036144971847534,0.8838608860969543,0.6916055679321289,,,
43,8799,,,,0.7747970819473267,0.8463306427001953,0.6462625861167908
43,8799,0.8107680082321167,0.8881362080574036,0.7012678980827332,,,
44,8999,,,,0.7749894261360168,0.8446220755577087,0.6464923620223999
44,8999,0.8137485384941101,0.8897404074668884,0.7051630020141602,,,
45,9199,,,,0.7742029428482056,0.845368504524231,0.6451864242553711
45,9199,0.8164937496185303,0.8903515934944153,0.7084954380989075,,,
46,9399,,,,0.7807184457778931,0.8477886319160461,0.6533448100090027
46,9399,0.8151218295097351,0.8895442485809326,0.707238495349884,,,
47,9599,,,,0.7796968817710876,0.8492431044578552,0.6532742381095886
47,9599,0.8163793087005615,0.8900042772293091,0.7081630825996399,,,
48,9799,,,,0.7633662819862366,0.8484088778495789,0.6376389861106873
48,9799,0.8174750804901123,0.8938827514648438,0.7105208039283752,,,
49,9999,,,,0.7802019715309143,0.8464837670326233,0.6525194644927979
49,9999,0.8215993046760559,0.8946015238761902,0.7162236571311951,,,
50,10199,,,,0.773415207862854,0.8415974378585815,0.6433567404747009
50,10199,0.822907567024231,0.8952796459197998,0.7171716690063477,,,
51,10399,,,,0.7848639488220215,0.8549152612686157,0.6599621176719666
51,10399,0.8282633423805237,0.8997781872749329,0.7255095839500427,,,
52,10599,,,,0.7763971090316772,0.8514118790626526,0.6477109789848328
52,10599,0.8238857984542847,0.8963872790336609,0.7185908555984497,,,
53,10799,,,,0.7862951159477234,0.8553076386451721,0.6606004238128662
